Time (s)	Event
-5.39567	h95
-5.393622	h56
-5.391572	h99
-5.389524	h6A
-5.387476	hA9
-5.385632	h55
-5.383378	h6A
-5.38133	h55
-5.379076	h55
-5.377028	h35
-5.374978	hD5
-5.373134	h6A
-5.371086	h19
-5.304198	h95
-5.302148	h56
-5.3001	h99
-5.29805	h6A
-5.296002	hA9
-5.294158	h55
-5.291904	h6A
-5.289856	h55
-5.287602	h55
-5.285554	h33
-5.283504	h35
-5.281456	hB5
-5.279612	h19
-5.205894	h95
-5.203846	h56
-5.201796	h99
-5.199748	h6A
-5.1977	hA9
-5.195856	h55
-5.193806	h53
-5.191552	h9A
-5.189708	h35
-5.18766	h4B
-5.18561	h2B
-5.183356	BREAK
-5.124224	h95
-5.122176	h56
-5.120128	h99
-5.118078	h6A
-5.11603	hA9
-5.114188	h55
-5.111934	h6A
-5.109886	h65
-5.107632	h55
-5.105584	hD5
-5.10374	h55
-5.10169	h6A
-5.099642	h19
-5.02885	h95
-5.0268	h56
-5.024752	h99
-5.022704	h6A
-5.020654	hA9
-5.01881	h55
-5.016556	h6A
-5.014506	h65
-5.012254	h55
-5.010204	h33
-5.008154	h55
-5.006106	hB5
-5.004262	h19
-4.93049	h95
-4.92844	h56
-4.926392	h99
-4.924342	h6A
-4.922292	hA9
-4.920448	h55
-4.918194	h6A
-4.916146	h65
-4.913892	h55
-4.911638	h9A
-4.909794	hD5
-4.90795	h6A
-4.9059	h19
-4.832178	h95
-4.830128	h56
-4.828078	h99
-4.82603	h6A
-4.82398	hA9
-4.822136	h55
-4.820088	hD3
-4.818244	h59
-4.81599	h2D
-4.813736	hA5
-4.811892	h2B
-4.809636	BREAK
-4.75449	h95
-4.75244	h56
-4.750392	h99
-4.748342	h6A
-4.746294	hA9
-4.74445	h55
-4.7424	hD3
-4.740556	h55
-4.738302	hAD
-4.736458	h95
-4.734614	hAD
-4.73277	h06
3.10754	h95
3.10959	h56
3.111638	h99
3.113688	h6A
3.115736	hA9
3.11758	h55
3.119832	h6A
3.121882	hA9
3.123724	h55
3.125774	h55
3.128026	h65
3.13028	hB5
3.132124	h19
5.145144	h95
5.147192	h56
5.14924	h99
5.151288	h6A
5.153336	hA9
5.15518	h55
5.157434	h6A
5.159482	h55
5.161736	h55
5.163786	h35
5.165834	hD5
5.167678	h6A
5.169728	h19
5.236604	h95
5.238652	h56
5.2407	h99
5.24275	h6A
5.244798	hA9
5.246642	h55
5.248894	h6A
5.250942	h55
5.253196	h55
5.255244	h33
5.257292	h35
5.259342	hB5
5.261184	h19
5.334896	h95
5.336944	h56
5.338994	h99
5.341042	h6A
5.34309	hA9
5.344934	h55
5.346984	h53
5.349238	h9A
5.351082	h35
5.35313	h4B
5.355178	h2B
5.357434	BREAK
5.416568	h95
5.418616	h56
5.420666	h99
5.422716	h6A
5.424764	hA9
5.426608	h55
5.428862	h6A
5.430912	h65
5.433166	h55
5.435216	hD5
5.43706	h55
5.439108	h6A
5.441158	h19
5.511964	h95
5.514012	h56
5.51606	h99
5.518108	h6A
5.520158	hA9
5.522	h55
5.524254	h6A
5.526304	h65
5.528556	h55
5.530606	h33
5.532654	h55
5.534702	hB5
5.536546	h19
5.610302	h95
5.61235	h56
5.614398	h99
5.616448	h6A
5.618496	hA9
5.62034	h55
5.622592	h6A
5.62464	h65
5.626894	h55
5.629148	h9A
5.630992	hD5
5.632836	h6A
5.634884	h19
5.708588	h95
5.710636	h56
5.712686	h99
5.714734	h6A
5.716782	hA9
5.718626	h55
5.720676	hD3
5.722518	h59
5.724772	h2D
5.727026	hA5
5.728868	h2B
5.731124	BREAK
5.787302	h95
5.78935	h56
5.791398	h99
5.793448	h6A
5.795498	hA9
5.79734	h55
5.799594	h6A
5.801644	h55
5.803896	h55
5.805944	h35
5.807994	hD5
5.809838	h6A
5.811886	h19
5.886576	h95
5.888626	h56
5.890674	h99
5.892724	h6A
5.894772	hA9
5.896616	h55
5.898666	hD3
5.90051	h55
5.902762	hAD
5.904606	h95
5.90645	hAD
5.908294	h06
6.619264	h95
6.621314	h56
6.623362	h99
6.625412	h6A
6.62746	hA9
6.629304	h55
6.631558	h6A
6.633608	h59
6.63586	h55
6.63791	hD5
6.639754	h95
6.641802	h6A
6.64385	h19
