Time (s)	Event
-7.703598	h95
-7.701546	h56
-7.699494	h99
-7.697442	h6A
-7.695392	hA9
-7.693546	h55
-7.691288	h6A
-7.689238	h55
-7.686982	h55
-7.68493	h35
-7.682878	hD5
-7.681032	h6A
-7.67898	h19
-7.611034	h95
-7.608982	h56
-7.60693	h99
-7.60488	h6A
-7.602828	hA9
-7.600982	h55
-7.598724	h6A
-7.596672	h55
-7.594416	h55
-7.592364	h33
-7.590314	h35
-7.588262	hB5
-7.586416	h19
-7.5126	h95
-7.510548	h56
-7.508498	h99
-7.506446	h6A
-7.504394	hA9
-7.502548	h55
-7.500496	h53
-7.498238	h9A
-7.496392	h35
-7.494342	h4B
-7.49229	h2B
-7.49003	BREAK
-7.430798	h95
-7.428746	h56
-7.426696	h99
-7.424644	h6A
-7.422594	hA9
-7.420748	h55
-7.41849	h6A
-7.41644	h65
-7.414182	h55
-7.412132	hD5
-7.410284	h55
-7.408232	h6A
-7.406182	h19
-7.335324	h95
-7.333272	h56
-7.331222	h99
-7.32917	h6A
-7.32712	hA9
-7.325274	h55
-7.323016	h6A
-7.320966	h65
-7.31871	h55
-7.316658	h33
-7.314606	h55
-7.312556	hB5
-7.31071	h19
-7.236872	h95
-7.234822	h56
-7.23277	h99
-7.23072	h6A
-7.228668	hA9
-7.226822	h55
-7.224566	h6A
-7.222516	h65
-7.22026	h55
-7.218002	h9A
-7.216156	hD5
-7.21431	h6A
-7.21226	h19
-7.138464	h95
-7.136412	h56
-7.134362	h99
-7.132312	h6A
-7.130262	hA9
-7.128416	h55
-7.126366	hD3
-7.12452	h59
-7.122264	h2D
-7.120008	hA5
-7.118162	h2B
-7.115904	BREAK
-7.060694	h95
-7.058644	h56
-7.056592	h99
-7.054542	h6A
-7.052492	hA9
-7.050646	h55
-7.048594	hD3
-7.046748	h55
-7.044492	hAD
-7.042646	h95
-7.0408	hAD
-7.038954	h06
-3.372336	h95
-3.370286	h56
-3.368236	h99
-3.366186	h6A
-3.364136	hA9
-3.36229	h55
-3.36024	h33
-3.358188	h55
-3.356138	h53
-3.354088	h4D
-3.352038	h2B
-3.34978	BREAK
0.24993	h95
0.25198	h56
0.254032	h99
0.256082	h6A
0.258132	hA9
0.259978	h55
0.262234	h6A
0.264286	h55
0.266542	h55
0.268592	h35
0.270642	hD5
0.272488	h6A
0.27454	h19
0.372974	h95
0.375024	h56
0.377074	h99
0.379126	h6A
0.381176	hA9
0.383022	h55
0.385278	h6A
0.387328	h59
0.389584	h55
0.391636	hD5
0.393482	h95
0.395532	h6A
0.397584	h19
2.848634	h95
2.850684	h56
2.852734	h99
2.854784	h6A
2.856834	hA9
2.85868	h55
2.860936	h6A
2.862986	h55
2.865242	h55
2.867292	h35
2.869342	hD5
2.871188	h6A
2.873238	h19
2.940148	h95
2.942198	h56
2.94425	h99
2.9463	h6A
2.94835	hA9
2.950194	h55
2.95245	h6A
2.9545	h55
2.956756	h55
2.958806	h33
2.960856	h35
2.962906	hB5
2.96475	h19
3.038526	h95
3.040576	h56
3.042628	h99
3.044678	h6A
3.046728	hA9
3.048572	h55
3.050622	h53
3.052878	h9A
3.054724	h35
3.056774	h4B
3.058824	h2B
3.061082	BREAK
3.120262	h95
3.122312	h56
3.124362	h99
3.126412	h6A
3.128462	hA9
3.130308	h55
3.132562	h6A
3.134612	h65
3.136868	h55
3.138918	hD5
3.140764	h55
3.142814	h6A
3.144864	h19
3.215716	h95
3.217768	h56
3.219818	h99
3.221868	h6A
3.223918	hA9
3.225764	h55
3.228018	h6A
3.230068	h65
3.232324	h55
3.234374	h33
3.236424	h55
3.238474	hB5
3.24032	h19
3.314122	h95
3.316172	h56
3.318222	h99
3.320272	h6A
3.322324	hA9
3.324168	h55
3.326424	h6A
3.328474	h65
3.33073	h55
3.332984	h9A
3.33483	hD5
3.336674	h6A
3.338724	h19
3.412492	h95
3.414542	h56
3.416592	h99
3.418642	h6A
3.420692	hA9
3.422536	h55
3.424586	hD3
3.426432	h59
3.428686	h2D
3.43094	hA5
3.432786	h2B
3.435042	BREAK
3.49121	h95
3.493258	h56
3.495308	h99
3.497358	h6A
3.499408	hA9
3.501254	h55
3.503304	hD3
3.505148	h55
3.507402	hAD
3.509248	h95
3.511092	hAD
3.512936	h06
5.12287	h95
5.124918	h56
5.126968	h99
5.12902	h6A
5.13107	hA9
5.132914	hD5
5.13476	hAA
5.136812	hA5
5.138862	hAA
5.140706	h55
5.142756	h55
5.144808	h53
5.146858	hB3
5.148704	hA6
5.150754	h9A
5.152598	hAD
5.154444	h06
7.326456	h95
7.328508	h56
7.330558	h99
7.332608	h6A
7.334658	hA9
7.336504	h55
7.338758	h6A
7.340808	h55
7.343064	h55
7.345114	h35
7.347164	hD5
7.34901	h6A
7.35106	h19
7.47211	h95
7.47416	h56
7.47621	h99
7.47826	h6A
7.48031	hA9
7.482156	h55
7.48441	h6A
7.48646	h59
7.488716	h55
7.490768	hD5
7.492614	h95
7.494664	h6A
7.496714	h19
